Species,Zoo_FB,Zoo_Atlas,Zoo_final,MaxLengthTL,Troph,TempPrefMean,TempPrefMax,TempPrefMin,DepthMin,DepthMax,Fecmin,Fecmax,FeedingType,AgeMatMin,Lm,DemersPelag,Depth_range,TempRange,Fecundity,nlimit,slimit,nlimit_book,slimit_book,Fisheries
Boreogadus saida,polar,arctic,arctic,40,3.12,0.2,4,-1.3,0,1383,16700,43066.67,hunting macrofauna (predator),2.67,NA,demersal,1383,5.3,38233.33333,north,barents,north,barents,HIGHLY COMMERCIAL
Arctogadus glacialis,deep-water,arctic,arctic,32.5,3.21,-0.1,1.6,-1.3,0,1000,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,1000,2.9,NA,north,barents,north,barents,NO
Myoxocephalus quadricornis,polar,arctic,arctic,60,3.85,-1,4.3,-1.8,0,100,1430.67,10666.67,variable,5.67,15.5,demersal,100,6.1,6764,barents,north,barents,barents,NO
Amblyraja hyperborea,deep-water,arctic,arctic,112,4.31,3.3,8.8,0.3,92,2925,NA,NA,hunting macrofauna (predator),NA,NA,demersal,2833,8.5,NA,north,south,north,north,NO
Aspidophoroides olrikii,polar,arctic,arctic,8.6,3.32,-0.6,1.8,-1.6,0,632,260,NA,hunting macrofauna (predator),NA,NA,demersal,632,3.4,260,north,barents,barents,south,NO
Careproctus micropus,deep-water,arctic,arctic,10,3.18,3.4,7.6,0.3,100,1800,NA,NA,NA,NA,NA,demersal,1700,7.3,NA,na,na,barents,norwegian,NO
Careproctus reinhardti,deep-water,arctic,arctic,30,3.75,3,8.6,0.4,75,1750,NA,NA,variable,NA,NA,demersal,1675,8.2,NA,barents,norwegian,north,norwegian,NO
Cyclopteropsis mcalpini,polar,arctic,arctic,7.5,3.22,NA,NA,NA,109,329,NA,NA,NA,NA,NA,demersal,220,NA,NA,north,barents,north,barents,NO
Eumicrotremus derjugini,polar,arctic,arctic,12.2,3.25,0.2,2.9,-1.2,5,1038,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1033,4.1,NA,north,na,north,barents,NO
Eumicrotremus spinosus,polar,arctic,arctic,8.74,3.24,0.8,7.1,-1,30,400,NA,NA,hunting macrofauna (predator),NA,NA,demersal,370,8.1,NA,barents,north,north,barents,NO
Gymnelus retrodorsalis,temperate,arctic,arctic,14,3.2,-0.1,3.2,-1.6,8,481,NA,NA,NA,NA,NA,demersal,473,4.8,NA,north,barents,north,barents,NO
Gymnelus viridis,polar,arctic,arctic,56,3.06,-0.5,4.8,-1.5,0,320,NA,NA,hunting macrofauna (predator),NA,NA,demersal,320,6.3,NA,na,na,NA,NA,NO
Gymnocanthus tricuspis,polar,arctic,arctic,30,3.28,-0.6,1.8,-1.6,0,556,3030,5414,hunting macrofauna (predator),2.5,7.75,demersal,556,3.4,5737,north,barents,barents,barents,NO
Icelus bicornis,polar,arctic,arctic,19.15,3.13,0.2,4.6,-1.3,0,930,79,180,hunting macrofauna (predator),NA,NA,demersal,930,5.9,169,north,norwegian,north,north,NO
Liparis bathyarcticus,temperate,arctic,arctic,14,3.44,1.1,1.9,-0.7,400,647,NA,NA,NA,NA,NA,demersal,247,2.6,NA,north,north,north,barents,NO
Liparis fabricii,deep-water,arctic,arctic,21,3.33,0.7,4.6,-0.9,6,1880,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1874,5.5,NA,north,north,north,barents,NO
Liparis tunicatus,polar,arctic,arctic,16,3.5,-1.2,0.8,-1.8,0,620,NA,NA,hunting macrofauna (predator),NA,NA,demersal,620,2.6,NA,north,barents,north,norwegian,NO
Lycenchelys kolthoffi,deep-water,arctic,arctic,28.3,3.1,1.8,4.6,-0.1,202,930,NA,NA,NA,NA,16,demersal,728,4.7,NA,north,barents,north,barents,NO
Lycenchelys muraena,deep-water,arctic,arctic,27.57,3.5,3.4,6.6,-0.6,350,1700,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1350,7.2,NA,north,north,north,norwegian,NO
Lycodes adolfi,<NA>,arctic,arctic,29.28,3.25,3.5,3.9,-0.9,274,2150,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1876,4.8,NA,na,na,north,norwegian,NO
Lycodes eudipleurostictus,polar,arctic,arctic,54.29,3.5,0.8,4,-0.9,25,1187,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1162,4.9,NA,north,norwegian,barents,norwegian,NO
Lycodes frigidus,deep-water,arctic,arctic,69,4.47,-0.7,3.6,-0.9,475,3000,NA,NA,hunting macrofauna (predator),NA,NA,demersal,2525,4.5,NA,north,norwegian,north,norwegian,NO
Lycodes luetkenii,<NA>,arctic,arctic,43.31,3.95,-0.5,5.9,-0.8,112,1463,NA,NA,NA,NA,NA,demersal,1351,6.7,NA,north,norwegian,barents,norwegian,NO
Lycodes paamiuti,deep-water,arctic,arctic,29.28,3.39,1.5,4.6,-0.4,122,1450,NA,NA,NA,NA,NA,demersal,1328,5,NA,north,norwergian,barents,norwegian,NO
Lycodes pallidus,polar,arctic,arctic,26,3.14,0.8,4.9,-0.9,6,1750,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1744,5.8,NA,north,norwegian,north,norwegian,NO
Lycodes polaris,polar,arctic,arctic,25,3.36,-0.9,1.6,-1.6,0,300,NA,NA,hunting macrofauna (predator),NA,NA,demersal,300,3.2,NA,barents,barents,barents,barents,NO
Lycodes reticulatus,deep-water,arctic,arctic,36,3.49,3.5,7.1,1.4,18,930,NA,NA,hunting macrofauna (predator),NA,NA,demersal,912,5.7,NA,barents,north,north,barents,NO
Lycodes rossi,polar,arctic,arctic,31,3.54,-0.5,2.6,-1.6,42,365,NA,NA,variable,NA,NA,demersal,323,4.2,NA,north,norwegian,north,barents,NO
Lycodes seminudus,deep-water,arctic,arctic,51.7,3.4,0.4,2.6,-0.7,50,1400,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1350,3.3,NA,north,barents,north,barents,NO
Lycodes squamiventer,deep-water,arctic,arctic,26,3.37,0.9,4.3,-0.6,198,1808,NA,NA,NA,NA,NA,demersal,1610,4.9,NA,barents,norwegian,barents,norwegian,NO
Lycodonus flagellicauda,deep-water,arctic,arctic,24.28,3.5,-0.6,5.3,-0.9,800,1993,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1193,6.2,NA,barents,norwegian,barents,norwegian,NO
Paraliparis bathybius,deep-water,arctic,arctic,30.87,4.29,3.7,6.2,3.2,20,4009,NA,NA,hunting macrofauna (predator),NA,NA,demersal,3989,3,NA,north,barents,north,norwegian,NO
Rhodichthys regina,deep-water,arctic,arctic,37.82,3.55,3.5,4.2,-0.9,1080,2365,NA,NA,NA,NA,NA,demersal,1285,5.1,NA,na,na,north,norwegian,NO
Triglops nybelini,polar,arctic,arctic,24.61,3.29,1.7,4.5,-0.1,71,1270,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1199,4.6,NA,na,na,north,barents,NO
Gaidropsarus argentatus,boreal,arctic-boreal,arctic-boreal,42.7,3.39,4.1,9.6,-0.6,150,2260,NA,NA,variable,NA,NA,demersal,2110,10.2,NA,barents,north,barents,norwegian,COMMERCIAL
Hippoglossoides platessoides,temperate,arctic-boreal,arctic-boreal,82.6,3.73,5.6,10.3,0.6,10,3000,25039,1147389,hunting macrofauna (predator),3,28.49,demersal,2990,9.7,598733.5,north,north,north,south,HIGHLY COMMERCIAL
Mallotus villosus,polar,arctic-boreal,arctic-boreal,25.2,3.15,2.7,7.1,0.3,0,725,6574.88,25250.54,selective plankton feeding,2,13.75,pelagic,725,6.8,19200.14423,barents,north,north,norwegian,HIGHLY COMMERCIAL
Reinhardtius hippoglossoides,polar-boreal,arctic-boreal,arctic-boreal,130,4.38,3,4.2,0.5,1,2200,16130,145800,hunting macrofauna (predator),9,63.74,pelagic,2199,3.7,89030,na,na,north,north,HIGHLY COMMERCIAL
Amblyraja radiata,boreal,arctic-boreal,arctic-boreal,105,4.2,1,5,-0.8,5,1540,28.67,20,hunting macrofauna (predator),NA,63.42,demersal,1535,5.8,38.66666667,north,south,barents,north,NO
Anarhichas denticulatus,polar,arctic-boreal,arctic-boreal,180,4.04,3.4,7.2,0.6,60,1700,NA,NA,variable,NA,NA,pelagic,1640,6.6,NA,barents,north,barents,north,NO
Anisarchus medius,polar,arctic-boreal,arctic-boreal,30,3.22,-0.6,4.1,-1.6,10,300,NA,NA,hunting macrofauna (predator),NA,NA,demersal,290,5.7,NA,barents,north,north,barents,NO
Artediellus atlanticus,temperate,arctic-boreal,arctic-boreal,18.3,3.57,3,7.4,0.4,35,900,60,145.33,hunting macrofauna (predator),NA,NA,demersal,865,7,132.6666667,barents,north,north,north,NO
Bathyraja spinicauda,boreal,arctic-boreal,arctic-boreal,170,4.41,2.5,7.6,0.3,140,1463,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,1323,7.3,NA,barents,north,barents,norwegian,NO
Benthosema glaciale,deep-water,arctic-boreal,arctic-boreal,12.57,3.14,5.1,12.8,1.6,0,1407,151,1519,selective plankton feeding,1.67,36,pelagic,1407,11.2,910.5,barents,south,north,south,NO
Cottunculus microps,deep-water,arctic-boreal,arctic-boreal,36.6,4.14,2.6,7.7,0.3,165,1342,66,99,variable,NA,NA,demersal,1177,7.4,115.5,north,north,barents,norwegian,NO
Cottunculus sadko,,arctic-boreal,arctic-boreal,19,3.62,0.8,1.9,-0.8,300,700,NA,NA,NA,NA,NA,demersal,400,2.7,NA,north,barents,barents,norwegian,NO
Icelus spatula,polar,arctic-boreal,arctic-boreal,21,3.92,-0.5,4.2,-1.5,12,930,110,1000,hunting macrofauna (predator),NA,NA,demersal,918,5.7,610,na,na,barents,barents,NO
Leptagonus decagonus,polar,arctic-boreal,arctic-boreal,21,3.22,0.7,6.7,-0.9,0,930,1088,1527.5,variable,NA,NA,demersal,930,7.6,1851.75,barents,north,barents,norwegian,NO
Leptoclinus maculatus,polar,arctic-boreal,arctic-boreal,20,3.28,2.3,7,0.2,2,607,931,2793,hunting macrofauna (predator),NA,12.5,demersal,605,6.8,2327.5,barents,north,north,north,NO
Lumpenus fabricii,polar,arctic-boreal,arctic-boreal,50.5,3.28,-0.3,3.8,-1.6,0,235,NA,NA,hunting macrofauna (predator),NA,NA,demersal,235,5.4,NA,north,north,barents,barents,NO
Myoxocephalus scorpius,polar,arctic-boreal,arctic-boreal,60,3.69,4.5,10.3,0.4,0,451,3968.4,20000,hunting macrofauna (predator),2,18.1,demersal,451,9.9,13968.4,barents,north,barents,south,NO
Somniosus microcephalus,boreal,arctic-boreal,arctic-boreal,550,4.22,3.6,9.3,0.6,0,2992,10,NA,hunting macrofauna (predator),NA,335.5,pelagic,2992,8.7,10,north,north,north,north,NO
Triglops murrayi,temperate,arctic-boreal,arctic-boreal,24.4,3.45,4.2,8,0.5,7,530,100,NA,hunting macrofauna (predator),NA,NA,demersal,523,7.5,100,barents,north,barents,south,NO
Triglops pingelii,temperate,arctic-boreal,arctic-boreal,24.64,3.42,0.4,6.7,-1.6,0,930,NA,NA,hunting macrofauna (predator),NA,NA,demersal,930,8.3,NA,north,north,north,barents,NO
Anguilla anguilla,temperate,boreal,boreal,133,3.55,7.9,14.5,3,0,700,2000000,3000000,hunting macrofauna (predator),8.83,50.83,demersal,700,11.5,3500000,barents,south,barents,south,COMMERCIAL
Argentina silus,deep-polar,boreal,boreal,85.4,3.32,5.5,10.2,1.4,140,1440,NA,4478,selective plankton feeding,6.33,33,pelagic,1300,8.8,4478,barents,south,barents,north,COMMERCIAL
Belone belone,temperate,boreal,boreal,104,4.16,11.3,20,8.8,0,50,4207.6,34295.6,hunting macrofauna (predator),2,NA,pelagic,50,11.2,21355.4,norwegian ,south,barents,south,COMMERCIAL
Ciliata mustela,temperate,boreal,boreal,25,3.5,10.3,11.8,8.4,17,22,9000,30000,hunting macrofauna (predator),1,NA,demersal,5,3.4,24000,norwegian,south,norwegian,south,COMMERCIAL
Ciliata septentrionalis,temperate,boreal,boreal,20,3.5,10.3,12.3,7.7,10,90,NA,NA,hunting macrofauna (predator),NA,6.69,demersal,80,4.6,NA,norwegian,south,norwegian,north,COMMERCIAL
Conger conger,temperate,boreal,boreal,300,4.31,8.7,14.4,4.4,0,1171,3000000,8000000,hunting macrofauna (predator),5,131.25,demersal,1171,10,7000000,norwegian,south,norwegian,south,COMMERCIAL
Coryphaenoides rupestris,deep-temperate,boreal,boreal,110,3.66,4.5,9.4,2.7,180,2600,9736.43,47776.63,hunting macrofauna (predator),9,50.32,pelagic,2420,6.7,33624.74107,norwegian,south,norwegian,north,COMMERCIAL
Coryphaenoides rupestris,,boreal,boreal,110,3.66,4.5,9.4,2.7,180,2600,9736.43,47776.63,hunting macrofauna (predator),9,50.32,pelagic,2420,6.7,33624.74107,norwegian,south,norwegian,north,COMMERCIAL
Eutrigla gurnardus,temperate,boreal,boreal,60,3.87,10.1,13.5,7.3,10,340,200000,300000,hunting macrofauna (predator),3.33,21.1,demersal,330,6.2,350000,barents,south,barents,south,COMMERCIAL
Glyptocephalus cynoglossus,temperate,boreal,boreal,73.2,3.17,7,11.4,0.6,18,1570,48800,508300,hunting macrofauna (predator),4,28.74,demersal,1552,10.8,302950,norwegian,south,barents,south,COMMERCIAL
Gymnammodytes semisquamatus,temperate,boreal,boreal,36.6,2.68,10.4,12.4,7.7,1,100,NA,NA,filtering plankton,NA,NA,demersal,99,4.7,NA,north,south,north,south,COMMERCIAL
Hippoglossus hippoglossus,temperate,boreal,boreal,470,4,3.4,7.9,0.4,50,2000,1300000,3500000,hunting macrofauna (predator),7.2,98.75,demersal,1950,7.5,3050000,barents,north,barents,north,COMMERCIAL
Limanda limanda,temperate,boreal,boreal,48.8,3,8.9,11.8,6.9,20,150,64687.5,413416.67,hunting macrofauna (predator),2.27,18.77,demersal,130,4.9,271395.8333,norwegian,south,barents,south,COMMERCIAL
Macrourus berglax,temperate,boreal,boreal,110,3.81,3.2,7,0.8,100,1000,15977,65688.33,hunting macrofauna (predator),14.8,54.13,pelagic,900,6.2,48821.16667,barents,north,barents,norwegian,COMMERCIAL
Microstomus kitt,temperate,boreal,boreal,65,3.21,9.9,12.5,7.1,10,200,84954,355148,sucking food-containing material,3,29.33,demersal,190,5.4,262528,barents,south,barents ,south,COMMERCIAL
Molva dypterygia,polar-temperate,boreal,boreal,155,4.49,6.3,14.1,2.1,150,1000,NA,NA,hunting macrofauna (predator),8.8,79,demersal,850,12,NA,barents,south,barents ,south,COMMERCIAL
Phycis blennoides,temperate,boreal,boreal,110,3.66,9.1,14.6,5.4,10,1200,NA,NA,hunting macrofauna (predator),3,NA,pelagic,1190,9.2,NA,norwegian ,south,norwegian,south,COMMERCIAL
Platichthys flesus,temperate,boreal,boreal,60,3.32,10.2,14.2,7.2,1,100,621320.3,1886736.13,hunting macrofauna (predator),2.93,21.47,demersal,99,7,1564688.363,norwegian,south,barents,south,COMMERCIAL
Pollachius pollachius,temperate,boreal,boreal,130,4.32,8.9,11.9,7,40,200,NA,NA,hunting macrofauna (predator),NA,39.4,pelagic,160,4.9,NA,norwegian ,south,norwegian ,south,COMMERCIAL
Scophthalmus maximus,temperate,boreal,boreal,122,4.36,9.4,11.9,5.9,20,70,5000000,15000000,hunting macrofauna (predator),3,32.45,demersal,50,6,12500000,norwegian,south,norwegian,south,COMMERCIAL
Scophthalmus rhombus,temperate,boreal,boreal,75,4.42,11.2,19.5,8.4,5,50,NA,NA,hunting macrofauna (predator),5,32.2,demersal,45,11.1,NA,norwegian ,south,norwegian ,south,COMMERCIAL
Sebastes mentella,polar-temperate,boreal,boreal,77.5,4.19,3.6,6.6,0.4,300,1441,19387.5,78900,hunting macrofauna (predator),11,31.66,pelagic,1141,6.2,58837.5,barents,south,north,norwegian,COMMERCIAL
Trisopterus luscus,temperate,boreal,boreal,46,3.73,9.6,12.8,7.1,30,100,207479,835997,hunting macrofauna (predator),1,21.5,pelagic,70,5.7,625477.5,north,south,north,south,COMMERCIAL
Trisopterus minutus,temperate,boreal,boreal,40,3.73,10,13,7.2,1,440,1236,21463,hunting macrofauna (predator),1,13.43,pelagic,439,5.8,11967.5,norwegian,south,norwegian,south,COMMERCIAL
Urophycis chuss,temperate,boreal,boreal,66,3.72,5,11.1,1.6,35,1152,NA,NA,variable,3,24.5,demersal,1117,9.5,NA,na,na,na,na,COMMERCIAL
Zeus faber,temperate,boreal,boreal,90,4.5,13.6,23.7,6.7,5,400,NA,NA,hunting macrofauna (predator),3,31.44,pelagic,395,17,NA,norwegian,south,norwegian,south,COMMERCIAL
Ammodytes marinus,temperate,boreal,boreal,25,3.27,9.7,11,6.7,10,150,4176.5,13371.83,selective plankton feeding,1.83,14.3,pelagic,140,4.3,10862.41667,barents,south,barents,south,HIGHLY COMMERCIAL
Ammodytes tobianus,temperate,boreal,boreal,24.4,3.08,10.2,13.5,7.3,1,96,NA,NA,filtering plankton,2,13,demersal,95,6.2,NA,norwegian,south,barents,south,HIGHLY COMMERCIAL
Brosme brosme,polar-temperate,boreal,boreal,120,3.9,3.6,7.7,0.5,18,1000,2000000,3000000,hunting macrofauna (predator),8,53.25,demersal,982,7.2,3500000,barents,south,barents,north,HIGHLY COMMERCIAL
Clupea harengus,polar-temperate,boreal,boreal,54.9,3.38,6.6,11.2,0.5,0,364,16798.41,69306.08,selective plankton feeding,2.56,22.51,pelagic,364,10.7,51451.45076,barents,south,barents,south,HIGHLY COMMERCIAL
Cyclopterus lumpus,polar,boreal,boreal,61,3.67,7.1,11.4,0.6,0,868,115045.67,279220.5,hunting macrofauna (predator),3.25,NA,pelagic,868,10.8,254655.9167,barents,north,barents,south,HIGHLY COMMERCIAL
Gadus chalcogrammus,polar,boreal,boreal,91,3.57,1.6,5.6,0.4,1,1280,290000,2645683.33,hunting macrofauna (predator),3.67,35.73,pelagic,1279,5.2,1612841.667,na,na,barents,norwegian,HIGHLY COMMERCIAL
Gadus morhua,polar-temperate,boreal,boreal,200,4.09,6.6,10.3,0.5,0,600,915628.82,7329546.55,hunting macrofauna (predator),3.63,59.06,pelagic,600,9.8,4580402.099,barents,north,barents,south,HIGHLY COMMERCIAL
Hyperoplus lanceolatus,temperate,boreal,boreal,48.8,3.98,10.3,12.8,8.8,6,30,35000,NA,variable,2,13,demersal,24,4,35000,norwegian ,south,norwegian ,south,HIGHLY COMMERCIAL
Lophius piscatorius,deep-water,boreal,boreal,244,4.45,7.7,14.2,3.8,20,1000,1000000,NA,hunting macrofauna (predator),10,55.5,demersal,980,10.4,1000000,norwegian,south,barents,south,HIGHLY COMMERCIAL
Melanogrammus aeglefinus,polar-temperate,boreal,boreal,112,4.03,8.4,12.1,1.4,10,450,101181.82,1282988.89,hunting macrofauna (predator),2.95,36.48,demersal,440,10.7,742676.2626,barents,south,barents,south,HIGHLY COMMERCIAL
Merlangius merlangus,temperate,boreal,boreal,91.5,4.36,9.2,11.9,7,10,200,211171.6,358035.33,hunting macrofauna (predator),1.6,26.15,pelagic,190,4.9,390189.2667,norwegian,south,barents,south,HIGHLY COMMERCIAL
Merluccius merluccius,temperate,boreal,boreal,140,4.47,10.2,15.4,6.9,30,1075,553354.24,2277902.05,hunting macrofauna (predator),4.29,36.97,demersal,1045,8.5,1692305.262,barents,south,barents,south,HIGHLY COMMERCIAL
Micromesistius poutassou,temperate,boreal,boreal,55.5,4.13,7,13.9,3.1,150,3000,35000,118600,hunting macrofauna (predator),3.33,20.72,pelagic,2850,10.8,94300,barents,south,barents ,south,HIGHLY COMMERCIAL
Molva molva,polar-temperate,boreal,boreal,200,4.4,7.7,11.3,4.6,100,1000,40000000,60000000,hunting macrofauna (predator),5,84.75,demersal,900,6.7,70000000,barents,south,barents ,south,HIGHLY COMMERCIAL
Pleuronectes platessa,temperate,boreal,boreal,122,3.17,10.2,12.4,6.8,0,200,133776.47,225433.33,hunting macrofauna (predator),3.25,28.07,demersal,200,5.6,246493.1373,barents,south,barents,south,HIGHLY COMMERCIAL
Pollachius virens,temperate,boreal,boreal,130,4.31,7,10.2,0.5,37,364,448500,8622500,hunting macrofauna (predator),4.4,55.15,demersal,327,9.7,4759750,barents,south,barents,south,HIGHLY COMMERCIAL
Salmo salar,temperate,boreal,boreal,150,4.5,9.3,15.3,1.5,0,210,7034.3,12177.1,hunting macrofauna (predator),2.15,55.57,pelagic,210,13.8,13122.85,na,na,na,na,HIGHLY COMMERCIAL
Scomber scombrus,temperate,boreal,boreal,66.6,3.63,10.2,17.5,7,0,1000,192436.36,788084.07,variable,1.75,28.49,pelagic,1000,10.5,586478.3994,barents,south,barents,south,HIGHLY COMMERCIAL
Sebastes norvegicus,polar-temperate,boreal,boreal,100,4.04,3.7,9.3,0.6,100,1000,31791.75,232947,hunting macrofauna (predator),10,33.23,pelagic,900,8.7,148265.25,barents,north,barents,norwegian,HIGHLY COMMERCIAL
Sprattus sprattus,temperate,boreal,boreal,19.52,3.01,9.5,15.3,4.3,10,150,23292.64,26704.55,selective plankton feeding,1.5,10.05,pelagic,140,11,36644.91558,norwegian ,south,norwegian ,south,HIGHLY COMMERCIAL
Trisopterus esmarkii,temperate,boreal,boreal,35,3.68,7.8,10.1,5.9,50,300,27000,207745,hunting macrofauna (predator),1,15.15,pelagic,250,4.2,130872.5,barents,north,barents,south,HIGHLY COMMERCIAL
Anarhichas minor,temperate,boreal,boreal,180,3.84,3.5,7.6,0.6,25,600,4200,35200,hunting macrofauna (predator),NA,55,demersal,575,7,21800,barents,north,barents,north,NO
Callionymus lyra,temperate,boreal,boreal,30.5,3.27,13.3,19.5,11.7,5,430,NA,NA,hunting macrofauna (predator),NA,17.4,demersal,425,7.8,NA,norwegian ,south,norwegian,south,NO
Callionymus maculatus,temperate,boreal,boreal,16.5,3.31,8.6,13,6.7,45,650,NA,NA,hunting macrofauna (predator),NA,NA,demersal,605,6.3,NA,norwegian,south,norwegian,south,NO
Chelidonichthys cuculus,temperate,boreal,boreal,70,3.81,10.1,15.8,7,15,400,NA,NA,hunting macrofauna (predator),NA,26.1,demersal,385,8.8,NA,north,south,north,south,NO
Dipturus batis,subtropical,boreal,boreal,285,3.52,9.8,15,7.1,100,1000,40,NA,hunting macrofauna (predator),NA,145,demersal,900,7.9,40,norwegian,south,norwegian,south,NO
Enchelyopus cimbrius,temperate,boreal,boreal,41,3.58,10,13.8,4.1,20,650,5000,45000,hunting macrofauna (predator),3,25,demersal,630,9.7,27500,barents,south,barents,south,NO
Gadiculus argenteus,temperate,boreal,boreal,15.25,3.6,7.9,13.9,3.4,100,1000,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,900,10.5,NA,norwegian,south,norwegian,south,NO
Gaidropsarus macrophthalmus,temperate,boreal,boreal,25,3.5,10,11.7,7.2,150,530,NA,NA,hunting macrofauna (predator),NA,NA,demersal,380,4.5,NA,na,na,na,na,NO
Gaidropsarus vulgaris,temperate,boreal,boreal,60,3.47,9.6,12.6,7.1,20,120,NA,NA,hunting macrofauna (predator),NA,NA,demersal,100,5.5,NA,norwegian,south,norwegian,south,NO
Lepidorhombus boscii,temperate,boreal,boreal,48.8,3.74,11.5,15.1,7.5,7,800,42000,180000,hunting macrofauna (predator),1,17,demersal,793,7.6,132000,north,south,north,south,NO
Leucoraja circularis,temperate,boreal,boreal,120,3.5,11.3,14.2,7.5,10,800,NA,NA,hunting macrofauna (predator),NA,NA,demersal,790,6.7,NA,norwegian,south,norwegian,south,NO
Maurolicus muelleri,deep-water,boreal,boreal,8,3.01,7.1,13.3,3.2,271,1524,166,910,selective plankton feeding,NA,NA,pelagic,1253,10.1,621,barents,south,barents,north,NO
Petromyzon marinus,temperate,boreal,boreal,120,4.37,7.1,13.1,1.8,1,4099,141493.5,240284.5,hunting macrofauna (predator),5.67,NA,demersal,4098,11.3,261635.75,barents,south,barents,south,NO
Raja brachyura,temperate,boreal,boreal,125,3.76,10.3,16.2,7.1,10,380,35,90,hunting macrofauna (predator),NA,88.23,demersal,370,9.1,80,north,south,north,south,NO
Raja montagui,temperate,boreal,boreal,83.5,3.88,9.9,16,7,8,530,24,60,hunting macrofauna (predator),NA,59.54,demersal,522,9,54,north,south,north,south,NO
Trachinus draco,temperate,boreal,boreal,53,4.18,10.9,18.7,8.7,1,150,NA,NA,hunting macrofauna (predator),NA,12.01,demersal,149,10,NA,norwegian,south,norwegian,south,NO
Zoarces viviparus,temperate,boreal,boreal,52,3.47,9.4,11.3,7.3,0,40,NA,NA,hunting macrofauna (predator),2,17,demersal,40,4,NA,barents,north,barents,south,NO
Agonus cataphractus,temperate,boreal,boreal,21,3.43,9.2,11.7,7,0,270,2450,2700,hunting macrofauna (predator),2,NA,demersal,270,4.7,3800,barents,south,barents,south,NO
Alosa agone,temperate,boreal,boreal,42.6,3.79,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,pelagic,NA,NA,NA,north,north,north,north,NO
Anarhichas lupus,temperate,boreal,boreal,150,3.86,7.8,12.1,0.8,1,600,18870,NA,hunting macrofauna (predator),6,55,demersal,599,11.3,18870,barents,south,barents,south,NO
Buenia jeffreysii,temperate,boreal,boreal,6,3.62,9.2,11.7,7,5,330,NA,NA,hunting macrofauna (predator),NA,NA,demersal,325,4.7,NA,norwegian,south,norwegian,south,NO
Callionymus reticulatus,temperate,boreal,boreal,18.5,3.28,10.5,12.5,7.7,0,110,NA,NA,hunting macrofauna (predator),NA,NA,demersal,110,4.8,NA,north ,south,north ,south,NO
Careproctus dubius,temperate,boreal,boreal,20,3.25,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,demersal,NA,NA,NA,north,north,north,north,NO
Careproctus macrophthalmus,temperate,boreal,boreal,10.9,3.19,NA,NA,NA,260,275,NA,NA,NA,NA,NA,demersal,15,NA,NA,barents,north,barents,north,NO
