Species,Zoo_FB,Zoo_Atlas,Zoo_final,MaxLengthTL,Troph,TempPrefMean,TempPrefMax,TempPrefMin,DepthMin,DepthMax,Fecmin,Fecmax,FeedingType,AgeMatMin,Lm,DemersPelag,Depth_range,TempRange,Fecundity,nlimit,slimit,nlimit_book,slimit_book,Fisheries
Careproctus ranula,,boreal,boreal,9.88,3.18,4,7.6,0.5,20,668,10,20,NA,NA,NA,demersal,648,7.1,20,north,north,north,north,NO
Careproctus solidus,temperate,boreal,boreal,14.34,3.22,NA,NA,NA,1151,2151,NA,NA,NA,NA,NA,demersal,1000,NA,NA,north,north,north,north,NO
Chirolophis ascanii,temperate,boreal,boreal,30.5,3.23,10.1,12,6.7,10,400,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,390,5.3,NA,barents,north,barents,north,NO
Coelorinchus labiatus,,boreal,boreal,50,3.95,6.7,8.5,4.2,460,2220,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1760,4.3,NA,na,south,NA,south,NO
Entelurus aequoreus,temperate,boreal,boreal,60,3.54,10.1,12.5,7.3,5,100,1000,NA,variable,2,NA,demersal,95,5.2,1000,norwegian ,south,barents,south,NO
Gobius niger,temperate,boreal,boreal,18,3.31,10.8,18.8,8.3,1,96,1000,6000,selective plankton feeding,0.8,11.26,demersal,95,10.5,4000,norwegian,south,norwegian,south,NO
Gobiusculus flavescens,<NA>,boreal,boreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,NO
Hyperoplus immaculatus,temperate,boreal,boreal,42.7,4.38,10.8,12.3,9.2,0,50,NA,NA,hunting macrofauna (predator),NA,NA,demersal,50,3.1,NA,north,south,north,south,NO
Liparis liparis,temperate,boreal,boreal,15,3.59,8,11.4,4.9,1,300,NA,NA,hunting macrofauna (predator),NA,NA,demersal,299,6.5,NA,barents,south,barents,south,NO
Liparis montagui,temperate,boreal,boreal,15.5,3.45,10.1,12.3,7.8,0,30,793,NA,hunting macrofauna (predator),NA,NA,demersal,30,4.5,793,norwegian,south,norwegian,south,NO
Lumpenus lampretaeformis,temperate,boreal,boreal,50,3.59,3.1,8.5,0.4,30,373,NA,NA,hunting macrofauna (predator),NA,20,demersal,343,8.1,NA,barents,north,barents,north,NO
Lycenchelys sarsii,deep-water,boreal,boreal,20,3.21,6.4,10.1,2.6,150,600,NA,NA,hunting macrofauna (predator),NA,NA,demersal,450,7.5,NA,barents,north,barents,north,NO
Lycodes esmarkii,deep-water,boreal,boreal,75,3.91,3.2,5.4,1.1,143,1090,NA,NA,hunting macrofauna (predator),NA,NA,demersal,947,4.3,NA,barents,north,barents,norwegian,NO
Lycodes gracilis,polar,boreal,boreal,28,3.55,5.4,9.7,0.7,94,113,NA,NA,NA,NA,NA,demersal,19,9,NA,barents,north,barents,norwegian,NO
Micrenophrys lilljeborgii,temperate,boreal,boreal,9.03,3.79,10.2,12,7.7,0,100,NA,NA,hunting macrofauna (predator),NA,NA,demersal,100,4.3,NA,norwegian,south,norwegian,south,NO
Mustelus asterias,temperate,boreal,boreal,140,3.62,10.1,16.2,7,0,350,5.5,17.5,hunting macrofauna (predator),2.15,78.45,demersal,350,9.2,14.25,north,south,north,south,NO
Myxine glutinosa,boreal,boreal,boreal,95,3.44,5.3,10.2,1,20,1200,20,30,hunting macrofauna (predator),NA,NA,pelagic,1180,9.2,35,barents,south,barents,south,NO
Nerophis ophidion,temperate,boreal,boreal,30,3.54,13.5,19.3,8.6,2,15,NA,NA,hunting macrofauna (predator),NA,NA,demersal,13,10.7,NA,north,south,north,south,NO
Notoscopelus kroyeri,temperate,boreal,boreal,17.45,3.17,6.8,10.2,3.1,0,1000,NA,NA,selective plankton feeding,NA,NA,pelagic,1000,7.1,NA,norwegian,south,norwegian,south,NO
Paralepis coregonoides,deep-water,boreal,boreal,61,4.07,7.4,14,2.2,50,1032,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,982,11.8,NA,norwegian,south,north,south,NO
Pholis gunnellus,polar,boreal,boreal,30.5,3.54,9.5,11.9,4.3,0,100,NA,NA,NA,1,NA,demersal,100,7.6,NA,barents,north,barents,south,NO
Pomatoschistus minutus,temperate,boreal,boreal,11,3.38,9.4,12.2,7,4,200,3390,3643,hunting macrofauna (predator),0.7,6.25,demersal,196,5.2,5211.5,norwegian,south,norwegian,south,NO
Pomatoschistus norvegicus,temperate,boreal,boreal,8,3.31,8.6,11.4,6.8,18,325,NA,NA,hunting macrofauna (predator),NA,NA,demersal,307,4.6,NA,norwegian,south,norwegian,south,NO
Rajella fyllae,deep-water,boreal,boreal,60,3.37,3.6,9.5,0.7,147,2055,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1908,8.8,NA,barents,norwegian,barents,north,NO
Rajella lintea,deep-water,boreal,boreal,125,3.78,5.2,8,1,150,2117,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1967,7,NA,norwegian,norwegian,barents,north,NO
Raniceps raninus,temperate,boreal,boreal,30,3.77,10.4,12.5,8.5,0,100,NA,NA,hunting macrofauna (predator),NA,NA,demersal,100,4,NA,norwegian,south,norwegian,south,NO
Sebastes viviparus,temperate,boreal,boreal,66.5,4.03,7.8,9.8,6.8,50,300,19219.67,137397.67,hunting macrofauna (predator),20,12.5,demersal,250,3,87918.5,norwegian,north,barents,north,NO
Squalus acanthias,temperate-subtrop,boreal,boreal,81.88,4.37,9.9,18.7,4.2,0,1460,4.71,13,hunting macrofauna (predator),8.75,77.08,pelagic,1460,14.5,11.21428571,barents,south,barents,south,NO
Taurulus bubalis,temperate,boreal,boreal,30.5,3.59,9.5,11.9,7,0,200,NA,NA,hunting macrofauna (predator),NA,NA,demersal,200,4.9,NA,norwegian ,south,norwegian ,south,NO
Zeugopterus norvegicus,temperate,boreal,boreal,14.64,3.98,10,12.5,7.3,10,200,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,190,5.2,NA,norwegian,north,norwegian,north,NO
Zeugopterus punctatus,temperate,boreal,boreal,30.5,3.99,10.4,12.5,8.7,1,50,NA,NA,hunting macrofauna (predator),NA,NA,demersal,49,3.8,NA,norwegian,south,norwegian,south,NO
Lamna nasus,boreal-temperate,,boreal,350,4.46,7.8,16.3,3.1,0,1360,2,4.5,hunting macrofauna (predator),9.2,169.25,pelagic,1360,13.2,4.25,,,,,
Argentina sphyraena,deep-water,deep-water,deep-water,42.7,3.49,8,13.3,6.4,50,700,NA,NA,hunting macrofauna (predator),NA,NA,demersal,650,6.9,NA,norwegian ,south,norwegian,south,NO
Centrophorus squamosus,,deep-water,deep-water,164,4.47,7,10.6,4.1,145,2400,5.17,10,hunting macrofauna (predator),NA,114.12,demersal,2255,6.5,10.16666667,norwegian,south,norwegian,south,NO
Chimaera monstrosa,deep-water,deep-water,deep-water,150,3.75,7.9,14.1,3.7,40,1400,NA,NA,hunting macrofauna (predator),11.2,43.3,demersal,1360,10.4,NA,norwegian,south,norwegian,south,NO
Coelorinchus caelorhincus,deep-water,deep-water,deep-water,48,3.49,13.2,19.6,8.6,90,1485,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,1395,11,NA,na,na,na,na,NO
Dipturus oxyrinchus,deep-water,deep-water,deep-water,150,3.5,10.2,14.4,5.4,70,1230,NA,NA,NA,NA,NA,demersal,1160,9,NA,norwegian,south,norwegian,south,NO
Etmopterus spinax,deep-water,deep-water,deep-water,60,4.14,9.2,14.2,5.8,70,2490,6,20,hunting macrofauna (predator),NA,34.5,demersal,2420,8.4,16,norwegian ,south,norwegian,south,NO
Leucoraja fullonica,deep-water,deep-water,deep-water,120,3.5,9.5,14.5,6.8,30,600,NA,NA,hunting macrofauna (predator),NA,NA,demersal,570,7.7,NA,norwegian,south,norwegian,south,NO
Malacocephalus laevis,deep-water,deep-water,deep-water,60,3.79,9.5,13.9,6.1,200,1000,NA,NA,hunting macrofauna (predator),NA,NA,demersal,800,7.8,NA,na,na,na,na,NO
Arctozenus risso,deep-water,deep-water,deep-water,36.6,3.94,4.1,10.8,0.8,0,2200,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,2200,10,NA,barents,south,barents,south,NO
Argyropelecus hemigymnus,deep-water,deep-water,deep-water,5.1,3.06,11.3,21.3,5.5,0,2400,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,2400,15.8,NA,north,south,norwegian,south,NO
Careproctus derjugini,deep-water,deep-water,deep-water,26.47,3.28,NA,NA,NA,344,363,NA,NA,NA,NA,NA,demersal,19,NA,NA,north,north,north,north,NO
Careproctus longipinnis,deep-water,deep-water,deep-water,20,3.5,3.6,6,-0.2,340,1322,NA,NA,NA,NA,NA,demersal,982,6.2,NA,barents,north,barents,north,NO
Careproctus tapirus,deep-water,deep-water,deep-water,16.96,3.23,NA,NA,NA,170,320,NA,NA,NA,NA,NA,demersal,150,NA,NA,barents,north,barents,north,NO
Careproctus telescopus,deep-water,deep-water,deep-water,14,3.21,NA,NA,NA,260,307,NA,NA,NA,NA,NA,demersal,47,NA,NA,barents,north,barents,north,NO
Dipturus nidarosiensis,deep-water,deep-water,deep-water,200,3.5,7.1,10.8,2.1,125,1420,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1295,8.7,NA,norwegian,south,norwegian,south,NO
Echiodon drummondii,deep-water,deep-water,deep-water,30,4.03,8.4,10.2,7.1,52,403,NA,NA,hunting macrofauna (predator),NA,NA,demersal,351,3.1,NA,norwegian ,north,norwegian,north,NO
Epigonus telescopus,<NA>,deep-water,deep-water,75,3.59,8.9,13.8,4.6,75,1200,NA,NA,hunting macrofauna (predator),NA,54.2,demersal,1125,9.2,NA,norwegian ,south,norwegian,south,NO
Galeus melastomus,deep-water,deep-water,deep-water,90,4.17,10.3,14.4,4.4,55,1873,37.67,74,hunting macrofauna (predator),3,58.59,demersal,1818,10,74.66666667,north,south,north,south,NO
Helicolenus dactylopterus,deep-water,deep-water,deep-water,50,3.94,10.6,18.1,4,50,1100,31767,428343,hunting macrofauna (predator),15,29,demersal,1050,14.1,245938.5,norwegian,south,norwegian,south,NO
Lampanyctus crocodilus,<NA>,deep-water,deep-water,36.6,3.22,7.9,14.6,3.4,0,1200,NA,NA,selective plankton feeding,NA,NA,pelagic,1200,11.2,NA,norwegian,south,norwegian,south,NO
Lampanyctus macdonaldi,deep-water,deep-water,deep-water,19.52,3.1,5.2,8.8,2.1,60,1464,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,1404,6.7,NA,barents,norwegian,barents,north,NO
Lycodes vahlii,deep-water,,deep-water,52,3.4,3.2,5.6,1.4,39,1200,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1161,4.2,NA,norwegian,north,norwegian,north,NO
Nansenia groenlandica,deep-water,deep-water,deep-water,29.89,3.35,7.3,10.7,2.1,0,1400,NA,NA,NA,NA,NA,pelagic,1400,8.6,NA,norwegian ,south,norwegian,norwegian,NO
Xenodermichthys copei,deep-water,deep-water,deep-water,31,3.19,7.6,19.7,3,100,2650,NA,NA,variable,NA,NA,pelagic,2550,16.7,NA,norwegian,south,norwegian,south,NO
Lophius budegassa,deep-water,,deep-water,122,4.41,11.1,13.5,9,70,1013,87569,222653,hunting macrofauna (predator),7,NA,demersal,943,4.5,198895.5,,,,,
Polyprion americanus,deep-water,,deep-water,210,4.14,9.4,19,5.2,40,600,3000000,11900000,hunting macrofauna (predator),NA,76.4,demersal,560,13.8,8950000,,,,,
Arnoglossus imperialis,subtropical,,subtropical,25,3.84,11.7,19.2,9.8,20,350,NA,NA,hunting macrofauna (predator),NA,NA,demersal,330,9.4,NA,,,,,COMMERCIAL
Brama brama,subtropical,,subtropical,100,4.08,11.8,23.9,6.7,0,1000,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,1000,17.2,NA,,,,,COMMERCIAL
Chelidonichthys lastoviza,subtropical,,subtropical,40,3.49,11.8,26,8.9,10,150,NA,NA,hunting macrofauna (predator),NA,15,demersal,140,17.1,NA,,,,,COMMERCIAL
Chelidonichthys lucerna,subtropical,subtropical,subtropical,82.8,3.98,9.8,16,7,20,318,NA,NA,hunting macrofauna (predator),NA,25.12,demersal,298,9,NA,norwegian,south,norwegian,south,COMMERCIAL
Chelon labrosus,subtropical,,subtropical,91.5,2.59,11,20.1,8.8,1,50,NA,NA,browsing on substrate,2.5,27.25,demersal,49,11.3,NA,,,,,COMMERCIAL
Dicentrarchus labrax,subtropical,subtropical,subtropical,103,3.47,10.7,19.5,7.3,10,100,231875,808581,hunting macrofauna (predator),4,32.3,demersal,90,12.2,636165.5,norwegian,south,norwegian,south,COMMERCIAL
Leucoraja naevus,subtropical,subtropical,subtropical,81,4.21,10.5,16.7,7.2,12,900,59.25,63,hunting macrofauna (predator),NA,56.9,demersal,888,9.5,90.75,north,south,north,south,COMMERCIAL
Macroramphosus scolopax,subtropical,subtropical,subtropical,20,3.47,13.6,22.7,6.5,25,600,NA,NA,hunting macrofauna (predator),NA,NA,demersal,575,16.2,NA,north ,north,north ,north,COMMERCIAL
Microchirus variegatus,subtropical,subtropical,subtropical,42.7,3.28,10.3,16,7,20,400,NA,NA,hunting macrofauna (predator),3,NA,demersal,380,9,NA,north,south,north,south,COMMERCIAL
Mullus surmuletus,subtropical,subtropical,subtropical,48.8,3.45,10.2,16.1,7,5,409,NA,NA,hunting macrofauna (predator),1.33,15.72,demersal,404,9.1,NA,north,south,north,south,COMMERCIAL
Raja clavata,subtropical,subtropical,subtropical,139,3.84,10.7,15.8,7.1,5,1020,45.5,111.75,hunting macrofauna (predator),NA,73.58,demersal,1015,8.7,101.375,norwegian,south,norwegian,south,COMMERCIAL
Sarpa salpa,subtropical,,subtropical,62.22,2,18.8,24,15.3,5,70,NA,NA,grazing on aquatic plants,NA,15.5,pelagic,65,8.7,NA,,,,,COMMERCIAL
Oncorhynchus gorbuscha,subtropical,subtropical,subtropical,76,4.49,3.3,9.3,0.5,0,250,741.4,1268.75,hunting macrofauna (predator),2,45,demersal,250,8.8,1375.775,na,na,na,na,HIGHLY COMMERCIAL
Sarda sarda,subtropical,,subtropical,101.45,4.23,10.7,23.4,7,80,200,NA,NA,hunting macrofauna (predator),NA,38.73,pelagic,120,16.4,NA,,,,,HIGHLY COMMERCIAL
Scomber japonicus,subtropical,,subtropical,64,3.38,20.7,27.7,9.3,0,300,206417.5,873841.25,hunting macrofauna (predator),2,30.31,pelagic,300,18.4,643338.125,,,,,HIGHLY COMMERCIAL
Trachurus trachurus,temperate-subtrop,subtropical,subtropical,70,3.71,13.3,16.6,10.6,0,1050,129758.73,419977.75,hunting macrofauna (predator),3.33,22.91,pelagic,1050,6,339747.6023,norwegian ,south,norwegian ,south,HIGHLY COMMERCIAL
Atherina presbyter,subtropical,,subtropical,20,3.67,11.5,20.3,9.2,0,50,NA,NA,selective plankton feeding,NA,NA,pelagic,50,11.1,NA,,,,,NO
Blennius ocellaris,subtropical,,subtropical,20,3.49,13.9,17.1,11,10,400,NA,NA,hunting macrofauna (predator),NA,9.64,demersal,390,6.1,NA,,,,,NO
Buglossidium luteum,subtropical,Subtropical,subtropical,20,3.31,10.6,18.8,8.1,5,450,NA,NA,hunting macrofauna (predator),NA,7.6,demersal,445,10.7,NA,norwegian,south,norwegian,south,NO
Echiichthys vipera,subtropical,subtropical,subtropical,18.3,4.41,10.5,16.1,7.3,0,50,NA,NA,hunting macrofauna (predator),NA,NA,demersal,50,8.8,NA,north,south,north,south,NO
Gasterosteus aculeatus,subtropical,subtropical,subtropical,11,3.31,8,13.5,2,0,100,76.67,875,hunting macrofauna (predator),1,4.53,pelagic,100,11.5,514.1666667,barents,south,barents,south,NO
Scomberesox saurus,subtropical,subtropical,subtropical,50,3.84,14.4,22,6.5,0,30,NA,NA,selective plankton feeding,NA,26.5,pelagic,30,15.5,NA,norwegian,south,norwegian,south,NO
Aphia minuta,subtropical,,subtropical,7.9,3.1,10.8,18.6,7.6,0,97,935,2648,filtering plankton,0.42,3.6,pelagic,97,11,2259,,,,,NO
Arnoglossus laterna,subtropical,subtropical,subtropical,30.5,3.59,10.8,19.5,7.4,10,200,NA,NA,hunting macrofauna (predator),3,10.03,demersal,190,12.1,NA,north,south,north,south,NO
Capros aper,subtropical,subtropical,subtropical,30,3.14,10.7,15,6.9,40,700,NA,NA,hunting macrofauna (predator),NA,8.15,demersal,660,8.1,NA,norwegian,south,norwegian,south,NO
Galeorhinus galeus,subtropical,subtropical,subtropical,195,4.34,12.3,23.2,6.7,0,1100,10.5,36.5,hunting macrofauna (predator),9.83,139.08,pelagic,1100,16.5,28.75,norwegian,south,norwegian,south,NO
Lesueurigobius suerii,<NA>,subtropical,subtropical,7.5,3.55,14.7,18,13.3,1,337,NA,NA,NA,NA,NA,demersal,336,4.7,NA,na,na,na,na,NO
Raja undulata,subtropical,,subtropical,100,3.5,13.2,17.1,9.8,50,200,NA,NA,hunting macrofauna (predator),8.5,77.92,demersal,150,7.3,NA,,,,,NO
Schedophilus medusophagus,subtropical,subtropical,subtropical,55,4,8.1,13.3,4.5,200,358,NA,NA,selective plankton feeding,NA,NA,pelagic,158,8.8,NA,north,south,north,south,NO
Scyliorhinus canicula,subtropical,subtropical,subtropical,100,3.82,10.1,16.2,7.2,10,780,48.33,70.25,hunting macrofauna (predator),3,53.86,demersal,770,9,83.45833333,north,south,north,south,NO
Scyliorhinus stellaris,subtropical,subtropical,subtropical,170,4.03,10.9,19.5,7.8,1,400,29,50.67,hunting macrofauna (predator),NA,78,demersal,399,11.7,54.33333333,norwegian,south,norwegian,south,NO
Dasyatis pastinaca,subtropical,,subtropical,123.5,4.05,12.2,26.1,9.7,5,200,4,7,hunting macrofauna (predator),NA,NA,demersal,195,16.4,7.5,,,,,
Gobius paganellus,subtropical,,subtropical,13,3.3,17.7,20.2,9.8,0,15,1054,8978,hunting macrofauna (predator),1,6.5,demersal,15,10.4,5543,,,,,
Hippocampus hippocampus,subtropical,,subtropical,15,3.15,17.8,26.5,10.9,0,60,NA,865,variable,0.33,7.7,demersal,60,15.6,865,,,,,
Labrus merula,subtropical,,subtropical,54.9,3.55,19.2,21.3,17.6,1,20,NA,NA,hunting macrofauna (predator),NA,17.5,demersal,19,3.7,NA,,,,,
Labrus mixtus,subtropical,,subtropical,48.8,3.91,10,17.1,7,2,200,NA,NA,hunting macrofauna (predator),NA,16,demersal,198,10.1,NA,,,,,
Lepadogaster lepadogaster,subtropical,,subtropical,7.93,3.14,19,21.2,16.1,0,15,NA,NA,NA,NA,NA,demersal,15,5.1,NA,,,,,
Lesueurigobius friesii,subtropical,,subtropical,13,3.36,10.4,18.4,7.2,10,130,NA,NA,NA,NA,4.5,demersal,120,11.2,NA,,,,,
Mugil cephalus,subtropical,,subtropical,122,2.48,23.2,27.9,11.3,0,120,1861153.4,4099702.4,variable,3.56,32.81,pelagic,120,16.6,3911004.6,,,,,
Mullus barbatus,subtropical,,subtropical,38.2,3.14,14.2,15.9,13.1,10,328,9361.67,77500,hunting macrofauna (predator),NA,11.17,demersal,318,2.8,48111.66667,,,,,
Ophidion barbatum,subtropical,,subtropical,25.4,3.57,13.8,14.5,11,51,1456,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1405,3.5,NA,,,,,
Pagellus erythrinus,subtropical,,subtropical,73.2,3.48,17.2,21,12.2,0,300,21446.67,180116.67,hunting macrofauna (predator),1.75,14.33,pelagic,300,8.8,111505,,,,,
Parablennius gattorugine,subtropical,,subtropical,30,2.73,17.4,19.8,9.9,3,32,NA,NA,grazing on aquatic plants,1,NA,demersal,29,9.9,NA,,,,,
Pegusa lascaris,subtropical,,subtropical,48.8,3.29,18.1,27.6,10.6,5,350,NA,NA,hunting macrofauna (predator),4,NA,demersal,345,17,NA,,,,,
Spondyliosoma cantharus,subtropical,,subtropical,73.2,3.34,10.2,17.2,7,5,300,35367.33,270014.67,variable,2,20.54,pelagic,295,10.2,170374.6667,,,,,
Cetorhinus maximus,temperate,,temperate,1520,3.2,11.4,22.7,5.4,0,2000,1,2,filtering plankton,11.43,688.57,pelagic,2000,17.3,2,,,,,COMMERCIAL
Chelon ramada,temperate,,temperate,70,2.34,11.8,20.1,9.7,10,20,215292,670044.75,variable,3,27.89,pelagic,10,10.4,550314.375,,,,,COMMERCIAL
Salmo trutta,temperate-subtrop,,temperate,170.8,3.36,10.1,15.8,6.5,0,28,882.22,4543.33,hunting macrofauna (predator),2.53,29.76,pelagic,28,9.3,3153.888889,,,,,COMMERCIAL
Engraulis encrasicolus,temperate-subtrop,,temperate,24.4,3.12,10.8,18,7.1,0,400,22383.47,142134.25,selective plankton feeding,1,10.68,pelagic,400,10.9,93450.59868,north,south,north,south,HIGHLY COMMERCIAL
Lepidorhombus whiffiagonis,deep-temperate,,temperate,60,4.34,7.7,11.4,6.3,100,700,26522,640523,hunting macrofauna (predator),1,24.35,demersal,600,5.1,346783.5,norwegian ,south,norwegian ,south,HIGHLY COMMERCIAL
Sardina pilchardus,temperate-subtrop,,temperate,33.55,3.06,10.3,17.3,7.1,10,100,32022.5,148302.2,selective plankton feeding,NA,14.32,pelagic,90,10.2,106173.6,norwegian,south,norwegian,south,HIGHLY COMMERCIAL
Solea solea,temperate,,temperate,85.4,3.21,11.4,20,9,0,150,76000,303850,hunting macrofauna (predator),2.75,26.19,demersal,150,11,227925,norwegian,south,norwegian,south,HIGHLY COMMERCIAL
Alburnus alburnus,temperate,,temperate,25,2.7,NA,NA,NA,1,NA,3316,10347.5,variable,1.8,9.9,pelagic,NA,NA,8489.75,,,,,NO
Acipenser sturio,temperate,,temperate,600,3.51,11,18.8,7.3,4,93,433333.33,2300000,hunting macrofauna (predator),9.15,150,demersal,89,11.5,1583333.333,norwegian,south,,,NO
Alosa alosa,temperate,,temperate,83,2.95,10.1,15.6,7,10,300,150000,475000,hunting macrofauna (predator),3,42.55,pelagic,290,8.6,387500,,,,,NO
Alosa fallax,temperate,,temperate,73.2,4.03,10.8,19.3,8.7,10,400,75000,200000,hunting macrofauna (predator),3,28.88,pelagic,390,10.6,175000,norwegian,south,norwegian,south,NO
Bathyraja brachyurops,temperate,,temperate,103,4.07,6,8,4.7,81,313,NA,NA,hunting macrofauna (predator),NA,NA,demersal,232,3.3,NA,,,,,NO
Centrolabrus exoletus,temperate,,temperate,18,3.5,10.7,13,8.9,1,25,NA,NA,hunting macrofauna (predator),NA,NA,demersal,24,4.1,NA,,,,,NO
Chelon auratus,temperate,,temperate,67.71,2.84,11.9,20.7,9.7,10,20,100000,1480000,variable,NA,30.5,pelagic,10,11,840000,,,,,NO
Crystallogobius linearis,temperate,,temperate,5.73,3.4,9.8,14.3,6.8,1,400,270,700,selective plankton feeding,NA,NA,demersal,399,7.5,620,,,,,NO
Spinachia spinachia,temperate,,temperate,26.84,3.5,9.9,12.5,7.5,0,20,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,20,5,NA,,,,,NO
Ctenolabrus rupestris,temperate,,temperate,18,3.58,10.4,15,8.7,1,50,NA,NA,hunting macrofauna (predator),NA,NA,demersal,49,6.3,NA,,,,,
Diplecogaster bimaculata,temperate,,temperate,7.32,3.39,10.6,13,8.9,NA,NA,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,NA,4.1,NA,,,,,
Dipturus intermedius,temperate,,temperate,230,4.06,NA,NA,NA,1,1500,NA,NA,NA,NA,NA,demersal,1499,NA,NA,,,,,
Gobius gasteveni,temperate,,temperate,12,3.25,11.4,16,10,35,270,NA,NA,NA,NA,NA,demersal,235,6,NA,,,,,
Labrus bergylta,temperate,,temperate,65.9,3.97,10.5,13.3,8.7,1,50,500,NA,hunting macrofauna (predator),6,17,demersal,49,4.6,500,,,,,
Lampetra fluviatilis,temperate,,temperate,50,4.5,9.8,12.2,5.2,10,50,6430,36083.33,hunting macrofauna (predator),4.75,30.03,demersal,40,7,24471.66667,,,,,
Mustelus mustelus,temperate,,temperate,200,4.26,15.3,27.3,9.8,5,624,4,15,hunting macrofauna (predator),9,72,demersal,619,17.5,11.5,,,,,
Nerophis lumbriciformis,temperate,,temperate,17,4.03,11,16,9.4,0,30,NA,NA,NA,2,NA,demersal,30,6.6,NA,,,,,
Osmerus eperlanus,temperate,,temperate,45,3.46,9.6,12,5.5,0,60,8875,45000,selective plankton feeding,2,12.75,pelagic,60,6.5,31375,,,,,
Pomatoschistus flavescens,temperate,,temperate,6,3.18,10.5,13.1,8.9,0,20,NA,NA,selective plankton feeding,NA,NA,demersal,20,4.2,NA,,,,,
Pomatoschistus lozanoi,temperate,,temperate,8,3.13,10,11.7,7.3,70,80,410,2453,variable,1,NA,demersal,10,4.4,1636.5,,,,,
Pomatoschistus microps,temperate,,temperate,9,3.29,10.8,16.1,9,0,12,NA,NA,hunting macrofauna (predator),0.8,NA,demersal,12,7.1,NA,,,,,
Pomatoschistus pictus,temperate,,temperate,6,3.12,10.5,14.6,8.2,1,55,NA,NA,hunting macrofauna (predator),NA,NA,demersal,54,6.4,NA,,,,,
Raja microocellata,temperate,,temperate,87,3.94,12,15.4,10.4,1,100,54,61,hunting macrofauna (predator),NA,71.7,demersal,99,5,84.5,,,,,
Symphodus bailloni,subtropical,,subtropical,24.4,3.5,11.3,18.9,8.9,1,50,NA,NA,NA,NA,NA,demersal,49,10,NA,,,,,
Symphodus melops,temperate,,temperate,34.16,3.38,10.5,17.2,8.8,0,50,NA,NA,hunting macrofauna (predator),2,12.83,demersal,50,8.4,NA,,,,,
Syngnathus acus,subtropical,,subtropical,50,3.33,17.7,22.6,10.3,0,110,101.5,341,hunting macrofauna (predator),NA,18.26,demersal,110,12.3,272,,,,,
Syngnathus rostellatus,temperate,,temperate,18.5,3.69,10.7,12.5,9.4,1,18,NA,NA,selective plankton feeding,NA,10,demersal,17,3.1,NA,,,,,
Syngnathus typhle,temperate,,temperate,35,4.31,14,19.6,8.8,1,20,100,250,selective plankton feeding,1,NA,demersal,19,10.8,225,,,,,
Trachipterus arcticus,deep-water,,deep-water,300,4.5,5.2,10.4,2.7,300,600,500000,NA,hunting macrofauna (predator),14,NA,pelagic,300,7.7,500000,,,,,
Trigla lyra,deep-water,,deep-water,60,3.82,13.1,14.9,8.5,10,700,NA,NA,hunting macrofauna (predator),NA,NA,demersal,690,6.4,NA,,,,,
Zeugopterus regius,subtropical,,subtropical,20,3.99,10.1,13,7.2,10,180,NA,NA,hunting macrofauna (predator),NA,NA,demersal,170,5.8,NA,,,,,
